% Model,SmartRoom.mph
% Version,COMSOL 6.1.0.282
% Date,"May 4 2023, 15:48"
% Table,coarse 3x3x3 30s - Interesting Points 3x3x3
% Time (s),"Temperature (degC), Point: (0.15, 0.15, 0)","Temperature (degC), Point: (5, 0.15, 0)","Temperature (degC), Point: (9.85, 0.15, 0)","Temperature (degC), Point: (0.15, 3, 0)","Temperature (degC), Point: (5, 3, 0)","Temperature (degC), Point: (9.85, 3, 0)","Temperature (degC), Point: (0.15, 5.85, 0)","Temperature (degC), Point: (5, 5.85, 0)","Temperature (degC), Point: (9.85, 5.85, 0)","Temperature (degC), Point: (0.15, 0.15, 1.5)","Temperature (degC), Point: (5, 0.15, 1.5)","Temperature (degC), Point: (9.85, 0.15, 1.5)","Temperature (degC), Point: (0.15, 3, 1.5)","Temperature (degC), Point: (5, 3, 1.5)","Temperature (degC), Point: (9.85, 3, 1.5)","Temperature (degC), Point: (0.15, 5.85, 1.5)","Temperature (degC), Point: (5, 5.85, 1.5)","Temperature (degC), Point: (9.85, 5.85, 1.5)","Temperature (degC), Point: (0.15, 0.15, 3)","Temperature (degC), Point: (5, 0.15, 3)","Temperature (degC), Point: (9.85, 0.15, 3)","Temperature (degC), Point: (0.15, 3, 3)","Temperature (degC), Point: (5, 3, 3)","Temperature (degC), Point: (9.85, 3, 3)","Temperature (degC), Point: (0.15, 5.85, 3)","Temperature (degC), Point: (5, 5.85, 3)","Temperature (degC), Point: (9.85, 5.85, 3)","Температура окружающей среды (degC), Point: (0, 0, 0)"
59670,22.613600620521254,22.640753241386108,22.634497196622192,22.588636357161874,32.43242374014551,22.75413537409287,22.911842548765662,23.53347793002638,22.707858262805644,22.39935123328155,22.576345358658614,22.382188405646218,22.499105855339792,20.61430897541385,22.258694707339544,22.51380545963616,23.462350572119703,22.671823265492492,22.706112335933085,22.55282912557368,22.595921637207823,22.469000048993394,22.661027572327953,22.258772559545264,22.667286130278683,23.02721743968698,22.62154774193374,24
59700,22.615868953975394,22.64291896766923,22.63670140265822,22.59078259911638,32.489609907546935,22.755986360651775,22.913929416408223,23.537439636380725,22.71003329984984,22.40222452489502,22.579854560507727,22.384777098421978,22.502062678275365,20.616695237071326,22.261255250364172,22.5166332916167,23.464575678332608,22.674359065440797,22.708827664982437,22.556048228704526,22.598550006959044,22.47193562046664,22.666671734997237,22.261502795350737,22.670063697713488,23.030605115863295,22.624226060913088,24
59730,22.618137287429647,22.64508469395247,22.638905608694245,22.592928841070886,32.54679607494842,22.75783734721074,22.916016284050784,23.54140134273507,22.71220833689398,22.4050978165086,22.583363762356896,22.38736579119768,22.505019501210995,20.61908149872886,22.263815793388858,22.51946112359741,23.4668007845454,22.67689486538916,22.711542994031902,22.559267331835315,22.60117837671021,22.474871191939883,22.672315897666522,22.264233031156323,22.672841265148293,23.033992792039612,22.626904379892494,24
59760,22.620405620883844,22.647250420235594,22.64110981473027,22.595075083025392,32.60398224234984,22.759688333769645,22.9181031516934,23.545363049089303,22.714383373938176,22.407971108122183,22.58687296420601,22.38995448397344,22.50797632414651,20.621467760386395,22.266376336413487,22.522288955578063,23.469025890758303,22.679430665337406,22.714258323081253,22.56248643496616,22.60380674646143,22.47780676341307,22.677960060335863,22.266963266961795,22.675618832583098,23.03738046821593,22.6295826988719,24
59790,22.622673954338097,22.649416146518774,22.643314020766297,22.5972213249799,32.66116840975127,22.76153932032861,22.920190019335905,23.54932475544365,22.716558410982373,22.410844399735765,22.59038216605518,22.3925431767492,22.51093314708214,20.62385402204393,22.26893687943823,22.525116787558716,23.47125099697115,22.681966465285768,22.716973652130605,22.565705538097006,22.60643511621265,22.480742334886315,22.683604223005204,22.26969350276738,22.67839640001796,23.04076814439219,22.63226101785125,24
59820,22.624942287792237,22.6515818728019,22.645518226802267,22.59936756693446,32.718354577152695,22.763390306887516,22.922276886978523,23.553286461797995,22.718733448026512,22.413717691349348,22.593891367904348,22.395131869524903,22.513889970017715,20.626240283701406,22.271497422462858,22.527944619539312,23.473476103183998,22.684502265234073,22.719688981180013,22.568924641227795,22.609063485963816,22.48367790635956,22.689248385674546,22.27242373857291,22.681173967452764,23.044155820568506,22.634939336830655,23.899999999999977
59850,22.627210621246434,22.653747599085023,22.64772243283835,22.60151380888891,32.77554074455418,22.76524129344648,22.924363754621083,23.557248168152285,22.72090848507065,22.41659098296293,22.597400569753518,22.397720562300663,22.516846792953288,20.628626545358884,22.2740579654876,22.530772451519965,23.475701209396902,22.68703806518232,22.72240431022942,22.57214374435864,22.61169185571498,22.486613477832748,22.694892548343887,22.27515397437844,22.683951534887626,23.047543496744822,22.637617655810004,24
59880,22.62947895470063,22.65591332536826,22.649926638874376,22.603660050843416,32.83272691195566,22.76709228000533,22.9264506222637,23.56120987450663,22.723083522114848,22.419464274576455,22.600909771602687,22.400309255076365,22.519803615888918,20.631012807016475,22.276618508512172,22.53360028350062,23.477926315609693,22.689573865130683,22.725119639278773,22.575362847489487,22.6143202254662,22.489549049305936,22.700536711013115,22.277884210184027,22.686729102322488,23.05093117292114,22.640295974789467,24.100000000000023
59910,22.631747288154827,22.658079051651384,22.652130844910346,22.60580629279798,32.88991307935714,22.76894326656435,22.92853748990626,23.56517158086092,22.725258559158988,22.422337566190038,22.604418973451857,22.40289794785207,22.52276043882449,20.633399068673953,22.279179051536914,22.53642811548127,23.480151421822598,22.692109665079045,22.727834968328125,22.578581950620332,22.616948595217366,22.49248462077918,22.70618087368257,22.2806144459895,22.689506669757293,23.054318849097456,22.642974293768816,24.100000000000023
59940,22.634015621609024,22.660244777934565,22.654335050946372,22.607952534752428,32.94709924675857,22.770794253123313,22.930624357548822,23.56913328721521,22.727433596203184,22.425210857803677,22.607928175301026,22.405486640627885,22.525717261760065,20.635785330331487,22.281739594561543,22.539255947461925,23.482376528035388,22.69464546502735,22.73055029737759,22.58180105375112,22.619576964968587,22.495420192252425,22.711825036351797,22.283344681795086,22.692284237192098,23.057706525273773,22.645652612748165,24.100000000000023
59970,22.636283955063163,22.662410504217746,22.656539256982455,22.61009877670699,33.004285414159995,22.772645239682163,22.93271122519144,23.573094993569555,22.729608633247324,22.428084149417202,22.611437377150196,22.408075333403588,22.528674084695695,20.63817159198902,22.28430013758623,22.542083779442578,23.484601634248293,22.697181264975654,22.73326562642694,22.585020156881967,22.62220533471975,22.49835576372567,22.71746919902114,22.286074917600615,22.69506180462696,23.061094201450032,22.648330931727514,23.80000000000001
60000,22.638552288517417,22.66457623050087,22.658743463018425,22.612245018661497,33.06147158156148,22.774496226241183,22.934798092834,23.5770566999239,22.73178367029152,22.430957441030785,22.614946578999366,22.41066402617929,22.53163090763121,20.6405578536465,22.286860680610914,22.54491161142323,23.486826740461083,22.699717064924016,22.735980955476293,22.588239260012813,22.624833704470973,22.501291335198857,22.72311336169048,22.288805153406145,22.697839372061765,23.06448187762635,22.65100925070692,23.69999999999999
60030,22.64082062197167,22.66674195678405,22.66094766905445,22.61439126061606,33.11865774896296,22.77634721280009,22.93688496047662,23.58101840627819,22.73395870733566,22.43383073264431,22.618455780848535,22.41325271895505,22.53458773056684,20.642944115303976,22.2894212236356,22.547739443403827,23.489051846673988,22.70225286487232,22.7386962845257,22.5914583631436,22.627462074222137,22.504226906672102,22.728757524359764,22.291535389211674,22.700616939496683,23.067869553802666,22.653687569686383,24
60060,22.643088955425753,22.668907683067175,22.66315187509042,22.61653750257051,33.175843916364386,22.77819819935894,22.938971828119122,23.58498011263248,22.736133744379856,22.436704024257892,22.621964982697705,22.415841411730753,22.537544553502357,20.64533037696151,22.29198176666023,22.55056727538448,23.49127695288678,22.704788664820626,22.74141161357511,22.59467746627439,22.63009044397336,22.507162478145347,22.734401687029163,22.294265625017204,22.70339450693143,23.071257229978926,22.656365888665675,24
60090,22.645357288880007,22.671073409350356,22.665356081126504,22.61868374452507,33.23303008376587,22.780049185917903,22.94105869576174,23.58894181898677,22.738308781423996,22.439577315871475,22.625474184546874,22.418430104506513,22.540501376437987,20.647716638619045,22.294542309684914,22.55339510736519,23.493502059099683,22.70732446476893,22.74412694262452,22.597896569405293,22.632718813724523,22.510098049618477,22.740045849698447,22.296995860822733,22.706172074366236,23.074644906155243,22.65904420764508,24
60120,22.647625622334203,22.673239135633537,22.667560287162587,22.620829986479578,33.29021625116735,22.78190017247681,22.9431455634043,23.59290352534117,22.740483818468192,22.442450607485057,22.628983386396044,22.421018797282272,22.543458199373504,20.65010290027658,22.297102852709543,22.55622293934573,23.495727165312587,22.709860264717292,22.746842271673813,22.601115672536025,22.635347183475687,22.51303362109178,22.74569001236773,22.29972609662832,22.708949641801098,23.078032582331616,22.66172252662443,24
60150,22.649893955788457,22.675404861916718,22.669764493198613,22.622976228434027,33.34740241856878,22.783751159035774,22.945232431046918,23.596865231695517,22.74265885551239,22.44532389909864,22.632492588245213,22.423607490057975,22.546415022309134,20.652489161934113,22.299663395734342,22.55905077132644,23.497952271525378,22.71239606466554,22.74955760072328,22.60433477566687,22.63797555322691,22.515969192564967,22.751334175037073,22.302456332433792,22.71172720923596,23.081420258507933,22.664400845603893,24
60180,22.652162289242597,22.677570588199842,22.67196869923464,22.62512247038859,33.4045885859702,22.785602145594737,22.94731929868948,23.60082693804975,22.744833892556528,22.44819719071222,22.636001790094326,22.426196182833735,22.549371845244764,20.65487542359159,22.302223938758914,22.561878603307093,23.500177377738225,22.714931864613845,22.75227292977263,22.607553878797717,22.640603922978073,22.51890476403821,22.756978337706414,22.305186568239378,22.714504776670765,23.08480793468425,22.667079164583186,24
60210,22.65443062269685,22.679736314482966,22.674172905270666,22.627268712343096,33.461774753371685,22.787453132153644,22.94940616633204,23.604788644404152,22.747008929600725,22.451070482325747,22.639510991943553,22.428784875609438,22.552328668180337,20.657261685249182,22.304784481783656,22.56470643528769,23.502402483951073,22.717467664562207,22.754988258822095,22.610772981928562,22.643232292729294,22.521840335511456,22.7626225003757,22.307916804044908,22.717282344105627,23.088195610860566,22.66975748356265,23.899999999999977
