% Model,SmartRoom.mph
% Version,COMSOL 6.1.0.282
% Date,"May 4 2023, 15:26"
% Table,finer 3x3x3 300s - Interesting Points 3x3x3
% Time (s),"Temperature (degC), Point: (0.15, 0.15, 0)","Temperature (degC), Point: (5, 0.15, 0)","Temperature (degC), Point: (9.85, 0.15, 0)","Temperature (degC), Point: (0.15, 3, 0)","Temperature (degC), Point: (5, 3, 0)","Temperature (degC), Point: (9.85, 3, 0)","Temperature (degC), Point: (0.15, 5.85, 0)","Temperature (degC), Point: (5, 5.85, 0)","Temperature (degC), Point: (9.85, 5.85, 0)","Temperature (degC), Point: (0.15, 0.15, 1.5)","Temperature (degC), Point: (5, 0.15, 1.5)","Temperature (degC), Point: (9.85, 0.15, 1.5)","Temperature (degC), Point: (0.15, 3, 1.5)","Temperature (degC), Point: (5, 3, 1.5)","Temperature (degC), Point: (9.85, 3, 1.5)","Temperature (degC), Point: (0.15, 5.85, 1.5)","Temperature (degC), Point: (5, 5.85, 1.5)","Temperature (degC), Point: (9.85, 5.85, 1.5)","Temperature (degC), Point: (0.15, 0.15, 3)","Temperature (degC), Point: (5, 0.15, 3)","Temperature (degC), Point: (9.85, 0.15, 3)","Temperature (degC), Point: (0.15, 3, 3)","Temperature (degC), Point: (5, 3, 3)","Temperature (degC), Point: (9.85, 3, 3)","Temperature (degC), Point: (0.15, 5.85, 3)","Temperature (degC), Point: (5, 5.85, 3)","Temperature (degC), Point: (9.85, 5.85, 3)","Температура окружающей среды (degC), Point: (0, 0, 0)"
23400,18.37343458597411,18.94708114651678,18.370663151396343,19.048649867248116,21.124011491084502,18.930138260691933,18.37660804380141,19.012460790043633,18.353789659924985,17.03225257896497,18.039394853926467,17.733413659362498,18.086845890521715,19.98679701259158,17.97842416773858,16.999317720347335,16.816047148845144,17.77275498834672,17.34737097672064,17.742207533253065,17.41800280988548,17.63737284741495,18.72694562281947,17.644095628608113,17.396196997276206,17.711052743722064,17.699648776715264,16.03422055450477
23700,18.365166268905,18.940503647874777,18.363034947511494,19.04063876890916,21.128642314158697,18.92401907040221,18.367869574493284,19.007783082525407,18.346480320904732,17.02797206873305,18.02152179076876,17.712508530040168,18.06718835909021,19.985898355236714,17.962608649276035,16.99619645855023,16.815372893377003,17.751275402653903,17.328852708426666,17.722467084482844,17.39844236532167,17.62041384023337,18.70100741580569,17.62697963134883,17.377085248110745,17.691248763795727,17.673609892074523,16.04655395812898
24000,18.356897951835776,18.933926149232775,18.355406743626702,19.032627670570264,21.133273137232948,18.917899880112543,18.35913110518527,19.003105375007124,18.33917098188448,17.023691558501127,18.003648727610937,17.69160340071778,18.047530827658647,19.98499969788179,17.946793130813546,16.993075196753125,16.814698637908805,17.729795816961087,17.310334440132635,17.702726635712622,17.378881920757976,17.603454833051728,18.67506920879191,17.60986363408955,17.357973498945228,17.67144478386939,17.64757100743384,16.060768987951178
24300,18.348629634766667,18.927348650590773,18.347778539741853,19.024616572231253,21.137903960307085,18.911780689822876,18.3503926358772,18.99842766748884,18.331861642864226,17.019411048269205,17.98577566445323,17.67069827139545,18.027873296227142,19.98410104052698,17.930977612351,16.98995393495602,16.814024382440607,17.708316231268327,17.29181617183866,17.6829861869424,17.359321476194168,17.5864958258702,18.649131001778187,17.592747636830268,17.338861749779824,17.651640803942996,17.6215321227931,16.0768588783871
24600,18.3403613176975,18.92077115194877,18.34015033585706,19.016605473892355,21.142534783381336,18.905661499533153,18.34165416656913,18.993749959970614,18.324552303843916,17.015130538037226,17.96790260129552,17.649793142073122,18.008215764795636,19.983202383172056,17.91516209388851,16.986832673158972,16.813350126972523,17.686836645575454,17.273297903544687,17.66324573817218,17.33976103163036,17.56953681868856,18.623192794764464,17.575631639571043,17.319750000614363,17.63183682401666,17.595493238152415,16.09481597152029
24900,18.332093000628277,18.914193653306768,18.33252213197227,19.0085943755534,21.14716560645553,18.899542309243486,18.332915697261,18.989072252452388,18.317242964823663,17.010850027805304,17.950029538137755,17.628888012750735,17.98855823336413,19.982303725817133,17.899346575425966,16.983711411361867,16.812675871504325,17.665357059882638,17.254779635250657,17.643505289402015,17.32020058706655,17.55257781150692,18.59725458775074,17.558515642311704,17.300638251448845,17.61203284409021,17.569454353511674,16.114631720746956
25200,18.323824683559167,18.907616154664765,18.324893928087477,19.000583277214503,21.151796429529725,18.893423118953763,18.32417722795293,18.984394544934105,18.30993362580341,17.006569517573325,17.93215647497999,17.60798288342835,17.96890070193251,19.981405068462323,17.88353105696342,16.98059014956476,16.812001616036184,17.64387747418982,17.236261366956683,17.623764840631736,17.300640142502743,17.53561880432534,18.571316380737017,17.54139964505248,17.28152650228344,17.592228864163815,17.54341546887099,16.136296694843736
25500,18.31555636649,18.901038656022763,18.317265724202628,18.992572178875548,21.15642725260392,18.887303928664096,18.31543875864486,18.979716837415822,18.302624286783214,17.00228900734146,17.914283411822282,17.58707775410602,17.949243170501063,19.980506411107456,17.86771553850099,16.977468887767657,16.811327360568043,17.622397888497062,17.21774309866271,17.60402439186157,17.281079697938992,17.518659797143698,18.54537817372318,17.524283647793197,17.262414753117923,17.572424884237478,17.51737658423025,16.159800582456285
25800,18.307288049420833,18.89446115738076,18.309637520317835,18.984561080536594,21.161058075678113,18.881184738374373,18.30670028933673,18.975039129897596,18.295314947762904,16.99800849710948,17.89641034866463,17.56617262478369,17.929585639069558,19.97960775375259,17.851900020038443,16.97434762597061,16.810653105099902,17.60091830280419,17.199224830368735,17.58428394309135,17.26151925337524,17.501700789962058,18.519439966709513,17.507167650533916,17.24330300395252,17.552620904311084,17.491337699589565,16.18513219700708
26100,18.299019732351667,18.887883658738815,18.302009316433043,18.97654998219764,21.165688898752364,18.87506554808465,18.29796182002866,18.970361422379312,18.28800560874265,16.993727986877616,17.87853728550681,17.545267495461303,17.909928107638052,19.978709096397665,17.836084501575897,16.971226364173503,16.80997884963176,17.57943871711143,17.18070656207476,17.56454349432113,17.24195880881149,17.484741782780475,18.493501759695732,17.49005165327469,17.224191254787,17.532816924384747,17.46529881494888,16.212279482019596
