% Model,SmartRoom.mph
% Version,COMSOL 6.1.0.282
% Date,"May 26 2023, 16:18"
% Table,04-08 fine 3x3x3  - 3x3x3
% Time (s),"Temperature (degC), Point: (2.35, 7.65, 0.15)","Temperature (degC), Point: (5.15, 7.65, 0.15)","Temperature (degC), Point: (7.95, 7.65, 0.15)","Temperature (degC), Point: (2.35, 3, 0.15)","Temperature (degC), Point: (5.15, 3, 0.15)","Temperature (degC), Point: (7.95, 3, 0.15)","Temperature (degC), Point: (2.35, -1.65, 0.15)","Temperature (degC), Point: (5.15, -1.65, 0.15)","Temperature (degC), Point: (7.95, -1.65, 0.15)","Temperature (degC), Point: (2.35, 7.65, 1.5)","Temperature (degC), Point: (5.15, 7.65, 1.5)","Temperature (degC), Point: (7.95, 7.65, 1.5)","Temperature (degC), Point: (2.35, 3, 1.5)","Temperature (degC), Point: (5.15, 3, 1.5)","Temperature (degC), Point: (7.95, 3, 1.5)","Temperature (degC), Point: (2.35, -1.65, 1.5)","Temperature (degC), Point: (5.15, -1.65, 1.5)","Temperature (degC), Point: (7.95, -1.65, 1.5)","Temperature (degC), Point: (2.35, 7.65, 2.85)","Temperature (degC), Point: (5.15, 7.65, 2.85)","Temperature (degC), Point: (7.95, 7.65, 2.85)","Temperature (degC), Point: (2.35, 3, 2.85)","Temperature (degC), Point: (5.15, 3, 2.85)","Temperature (degC), Point: (7.95, 3, 2.85)","Temperature (degC), Point: (2.35, -1.65, 2.85)","Temperature (degC), Point: (5.15, -1.65, 2.85)","Temperature (degC), Point: (7.95, -1.65, 2.85)",T_outer (degC)
31800,19.23464077977303,19.277588326314913,22.063304221987835,21.254495075639397,19.519074770790496,22.15030900574243,20.96119269876226,22.353769722878553,21.858428190053303,19.352830043976724,19.3471043351758,22.100049439968018,19.47072923395376,19.90151807112511,22.219063441683033,21.501480287830873,23.540245426167644,21.888378351196934,19.346569841826636,19.848000905931542,22.094124573068086,19.85802049725953,20.125269436369877,22.139608779377625,21.461141607924446,23.011818824045974,22.131165265054335,21.5
32100,19.233448284872168,19.27622605560532,21.99404374443992,21.31879955340611,19.519964333650933,22.087388538266737,21.00608007064568,22.418213473493097,21.799148090297194,19.357130406391207,19.344183694470644,22.02188442325837,19.503087494669785,19.90047277427891,22.162141961877865,21.567833913628533,23.6317858004993,21.828203169992207,19.348115483822426,19.86493524832423,22.0288667000454,19.877941758711927,20.1453880580558,22.076490962993205,21.51141729499841,23.09059185638972,22.08411654500037,21.30000000000001
32400,19.23225578997136,19.274863784895842,21.92478326689195,21.383104031172763,19.520853896511426,22.024468070790988,21.050967442529213,22.482657224107697,21.73986799054103,19.361430768805803,19.341263053765488,21.943719406548666,19.535445755385695,19.89942747743271,22.105220482072752,21.634187539426193,23.72332617483096,21.768027988787367,19.34966112581816,19.88186959071686,21.963608827022767,19.897863020164323,20.165506679741725,22.013373146608785,21.56169298207243,23.16936488873347,22.037067824946405,21.19999999999999
32700,19.231063295070555,19.273501514186364,21.855522789344036,21.44740850893936,19.521743459371862,21.96154760331524,21.095854814412633,22.54710097472224,21.680587890784977,19.365731131220286,19.33834241306033,21.86555438983902,19.567804016101718,19.898382180586452,22.04829900226747,21.700541165223854,23.814866549162616,21.707852807582583,19.35120676781395,19.898803933109548,21.89835095400008,19.91778428161666,20.18562530142765,21.95025533022431,21.611968669146506,23.248137921077216,21.99001910489244,21
33000,19.22987080016975,19.27213924347683,21.786262311796065,21.511712986706073,19.5226330222323,21.898627135839547,21.140742186296166,22.61154472533684,21.621307791028812,19.37003149363477,19.335421772355176,21.787389373129315,19.600162276817684,19.897336883740195,21.9913775224623,21.766894791021514,23.906406923494274,21.6476776263778,19.352752409809682,19.915738275502235,21.83309308097745,19.937705543069,20.20574392311363,21.887137513839832,21.662244356220526,23.32691095342085,21.94297038483853,21.100000000000023
33300,19.243162954621596,19.279563071481448,21.74986988495982,21.65599378734123,19.53300645440362,21.86785196597168,21.196665521860268,22.674047818667077,21.600052888905964,19.39139483734789,19.341230652733316,21.746890502726842,19.642021221436835,19.900000545159287,21.964679803799186,21.84672028614284,23.99244231808268,21.628444485965417,19.37813066325424,19.951728436140627,21.801458013887043,19.98791198447043,20.25213094324846,21.858698859651895,21.72983187774588,23.41188173676221,21.932036991379334,20.899999999999977
33600,19.277472051271502,19.299735356443705,21.76116835523453,21.916318664295545,19.55714079498688,21.88371899263285,21.268601824333473,22.733735056329976,21.633971802956694,19.437516232356813,19.35970589703618,21.761044472064214,19.69766547211185,19.90804583229658,21.981836169930318,21.94609319949859,24.070490095004516,21.668617443957885,19.43808956860488,20.01536821541015,21.818608978933753,20.082061628150882,20.336632894465936,21.88057898982754,21.822538531612395,23.505845335276888,21.973506228665656,21.19999999999999
33900,19.31178114792135,19.31990764140602,21.77246682550924,22.176643541249916,19.58127513557008,21.899586019294077,21.34053812680679,22.79342229399282,21.66789071700748,19.483637627365738,19.3781811413391,21.775198441401585,19.753309722786867,19.916091119433986,21.99899253606145,22.045466112854342,24.148537871926237,21.70879040195041,19.498048473955578,20.079007994679614,21.835759943980463,20.17621127183139,20.421134845683355,21.902459120003186,21.915245185478966,23.59980893379145,22.014975465952034,21.30000000000001
34200,19.346090244571258,19.340079926368333,21.78376529578395,22.43696841820423,19.60540947615334,21.915453045955246,21.412474429280053,22.85310953165566,21.701809631058268,19.52975902237472,19.396656385641904,21.789352410738957,19.808953973461826,19.92413640657128,22.01614890219264,22.14483902620998,24.226585648848072,21.748963359942934,19.55800737930622,20.142647773949136,21.852910909027173,20.270360915511958,20.505636796900944,21.924339250178832,22.00795183934548,23.69377253230607,22.056444703238355,21.19999999999999
34500,19.380399341221107,19.36025221133059,21.795063766058718,22.697293295158545,19.6295438167366,21.931320072616472,21.484410731753428,22.91279676931856,21.735728545109055,19.5758804173837,19.41513162994488,21.803506380076215,19.864598224136785,19.93218169370863,22.033305268323772,22.24421193956573,24.304633425769794,21.789136317935345,19.61796628465686,20.206287553218658,21.870061874073883,20.36451055919241,20.59013874811842,21.946219380354478,22.10065849321211,23.787736130820633,22.097913940524677,21.5
34800,19.414708437871013,19.38042449629296,21.806362236333428,22.957618172112916,19.65367815731986,21.94718709927764,21.556347034226746,22.972484006981404,21.76964745915984,19.622001812392682,19.433606874247744,21.817660349413643,19.920242474811744,19.940226980845978,22.050461634454905,22.34358485292148,24.38268120269163,21.829309275927812,19.6779251900075,20.269927332488123,21.887212839120537,20.458660202872863,20.674640699335896,21.968099510530124,22.193365147078623,23.881699729335253,22.139383177811055,21.5
35100,19.44901753452092,19.400596781255217,21.817660706608137,23.217943049067173,19.677812497903062,21.963054125938925,21.628283336700008,23.032171244644246,21.803566373210685,19.668123207401663,19.452082118550607,21.831814318750958,19.975886725486703,19.94827226798327,22.06761800058598,22.44295776627723,24.460728979613464,21.86948223392028,19.73788409535814,20.333567111757645,21.904363804167247,20.55280984655343,20.759142650553372,21.98997964070577,22.286071800945194,23.975663327849873,22.180852415097377,21.19999999999999
35400,19.483326631170826,19.42076906621753,21.828959176882847,23.478267926021488,19.70194683848632,21.978921152600094,21.70021963917327,23.091858482307146,21.837485287261416,19.714244602410588,19.47055736285347,21.845968288088272,20.031530976161662,19.956317555120677,22.08477436671717,22.542330679632926,24.538776756535242,21.909655191912805,19.79784300070878,20.397206891027167,21.9215147692139,20.646959490233883,20.843644601770848,22.011859770881415,22.37877845481171,24.069626926364435,22.222321652383698,21.600000000000023
35700,19.517635727820675,19.440941351179788,21.840257647157557,23.738592802975802,19.72608117906958,21.994788179261263,21.772155941646588,23.151545719969988,21.871404201312203,19.76036599741957,19.489032607156332,21.860122257425644,20.087175226836678,19.96436284225797,22.10193073284836,22.64170359298862,24.616824533456963,21.949828149905272,19.85780190605942,20.46084667029669,21.938665734260553,20.741109133914392,20.92814655298838,22.033739901057004,22.471485108678166,24.163590524879055,22.263790889670076,22
