% Model,SmartRoom_real_4days_fine_300s.mph
% Version,COMSOL 6.1.0.282
% Date,"May 4 2023, 14:24"
% Table,fine 3x3x3 300s real temperature 4 days - Interesting Points 3x3x3
% Time (s),"Temperature (degC), Point: (0.15, 0.15, 0)","Temperature (degC), Point: (5, 0.15, 0)","Temperature (degC), Point: (9.85, 0.15, 0)","Temperature (degC), Point: (0.15, 3, 0)","Temperature (degC), Point: (5, 3, 0)","Temperature (degC), Point: (9.85, 3, 0)","Temperature (degC), Point: (0.15, 5.85, 0)","Temperature (degC), Point: (5, 5.85, 0)","Temperature (degC), Point: (9.85, 5.85, 0)","Temperature (degC), Point: (0.15, 0.15, 1.5)","Temperature (degC), Point: (5, 0.15, 1.5)","Temperature (degC), Point: (9.85, 0.15, 1.5)","Temperature (degC), Point: (0.15, 3, 1.5)","Temperature (degC), Point: (5, 3, 1.5)","Temperature (degC), Point: (9.85, 3, 1.5)","Temperature (degC), Point: (0.15, 5.85, 1.5)","Temperature (degC), Point: (5, 5.85, 1.5)","Temperature (degC), Point: (9.85, 5.85, 1.5)","Temperature (degC), Point: (0.15, 0.15, 3)","Temperature (degC), Point: (5, 0.15, 3)","Temperature (degC), Point: (9.85, 0.15, 3)","Temperature (degC), Point: (0.15, 3, 3)","Temperature (degC), Point: (5, 3, 3)","Temperature (degC), Point: (9.85, 3, 3)","Temperature (degC), Point: (0.15, 5.85, 3)","Temperature (degC), Point: (5, 5.85, 3)","Temperature (degC), Point: (9.85, 5.85, 3)","Температура окружающей среды (degC), Point: (0, 0, 0)"
155100,23.822500108346503,23.73986832264302,23.717089364792685,23.62532606548575,38.805778784463655,23.57132460478624,23.81394608964939,24.143688715165638,23.677242560911736,23.805315996114985,24.090539854135045,23.72986657688159,23.811197526961564,24.352745805998097,23.671354003910665,23.88404075315441,24.43529785665561,23.799783494409326,24.041106017618517,24.06406313676058,23.972651716816813,23.9694995861409,24.74963862011441,23.905059166124033,24.00224704403439,24.343633121989967,23.986810719836967,24.600000000000023
155400,23.807256495730485,23.72758802156278,23.705877610221933,23.614351080482606,38.59122337543215,23.561563893164248,23.79786175865405,24.132082666185,23.66631329079769,23.79451522279618,24.077313195414945,23.7195135322371,23.802111767962174,24.3611100249546,23.661885356223934,23.871250584101404,24.40491196406873,23.78777281310647,24.022247640814726,24.049549921757148,23.956768556691088,23.95371585124974,24.74036333140134,23.88880889606469,23.98436874595501,24.325666488471768,23.97093276980081,24.5
155700,23.792012883114523,23.715307720482542,23.694665855651067,23.603376095479348,38.376667966400646,23.551803181542255,23.78177742765871,24.120476617204247,23.655384020683755,23.783714449477316,24.064086536694788,23.709160487592612,23.793026008962727,24.3694742439111,23.652416708537203,23.858460415048285,24.374526071481796,23.775762131803674,24.00338926401099,24.035036706753658,23.94088539656542,23.937932116358525,24.731088042688384,23.872558626005343,23.96649044787557,24.307699854953512,23.95505481976477,24.399999999999977
156000,23.776769270498505,23.70302741940236,23.683454101080258,23.592401110476146,38.162112557369255,23.542042469920204,23.76569309666337,24.10887056822355,23.644454750569707,23.772913676158396,24.050859877974688,23.698807442948123,23.78394024996345,24.377838462867544,23.642948060850415,23.84567024599528,24.344140178894975,23.763751450500877,23.9845308872072,24.02052349175017,23.925002236439752,23.922148381467423,24.721812753975314,23.85630835594594,23.948612149796304,24.289733221435313,23.939176869728612,24.30000000000001
156300,23.761525657882487,23.69074711832218,23.672242346509506,23.581426125473,37.94755714833775,23.532281758298154,23.749608765668086,24.097264519242913,23.63352548045566,23.762112902839647,24.037633219254587,23.688454398303634,23.774854490964174,24.38620268182399,23.633479413163627,23.832880076942274,24.31375428630804,23.751740769198022,23.965672510403465,24.006010276746792,23.909119076314084,23.906364646576264,24.7125374652623,23.84005808588654,23.930733851716866,24.271766587917114,23.923298919692513,24.19999999999999
156600,23.74628204526647,23.67846681724194,23.661030591938697,23.5704511404698,37.733001739306246,23.52252104667616,23.733524434672688,24.08565847026216,23.622596210341726,23.751312129520784,24.02440656053443,23.6781013536592,23.76576873196484,24.394566900780546,23.624010765476953,23.820089907889212,24.28336839372116,23.73973008789517,23.946814133599673,23.991497061743303,23.893235916188416,23.890580911685106,24.703262176549288,23.823807815827195,23.9128555536376,24.25379995439897,23.907420969656357,24.100000000000023
156900,23.73103843265045,23.66618651616176,23.649818837367945,23.55947615546654,37.5184463302748,23.512760335054168,23.717440103677347,24.074052421281408,23.61166694022768,23.740511356201864,24.011179901814273,23.667748309014712,23.75668297296545,24.40293111973699,23.614542117790165,23.80729973883615,24.252982501134284,23.727719406592314,23.927955756795882,23.97698384673987,23.87735275606269,23.874797176793948,24.693986887836274,23.80755754576785,23.894977255558217,24.235833320880772,23.8915430196202,24.100000000000023
157200,23.71579482003449,23.653906215081577,23.638607082797137,23.548501170463283,37.30389092124335,23.502999623432174,23.701355772682064,24.06244637230077,23.600737670113745,23.729710582883058,23.99795324309423,23.657395264370223,23.747597213966117,24.411295338693492,23.605073470103434,23.794509569783145,24.222596608547406,23.715708725289574,23.909097379992147,23.962470631736437,23.861469595937024,23.85901344190279,24.684711599123204,23.791307275708448,23.877098957478836,24.217866687362573,23.87566506958416,24.100000000000023
157500,23.70055120741847,23.64162591400128,23.62739532822627,23.537526185460138,37.0893355122119,23.493238911810067,23.685271441686666,24.050840323320017,23.589808399999697,23.718909809564195,23.984726584374073,23.647042219725734,23.738511454966783,24.419659557649993,23.595604822416703,23.78171940073014,24.192210715960528,23.70369804398672,23.8902390031883,23.947957416733004,23.845586435811356,23.843229707011574,24.67543631041019,23.775057005649046,23.85922065939951,24.199900053844317,23.859787119548002,24
157800,23.685307594802453,23.6293456129211,23.616183573655576,23.52655120045688,36.874780103180456,23.483478200188074,23.669187110691325,24.03923427433932,23.578879129885706,23.708109036245332,23.971499925653916,23.636689175081244,23.72942569596745,24.428023776606437,23.586136174729916,23.768929231677134,24.16182482337365,23.691687362683865,23.871380626384507,23.93344420172957,23.82970327568563,23.827445972120472,24.666161021697178,23.7588067355897,23.84134236132013,24.181933420326175,23.843909169511846,24
158100,23.670063982186434,23.61706531184086,23.604971819084767,23.515576215453677,36.66022469414895,23.47371748856608,23.653102779695985,24.027628225358626,23.567949859771716,23.69730826292647,23.95827326693376,23.626336130436812,23.720339936968116,24.43638799556288,23.576667527043185,23.756139062624072,24.131438930786715,23.67967668138101,23.852522249580716,23.91893098672608,23.81382011556002,23.811662237229257,24.656885732984165,23.7425564655303,23.823464063240806,24.163966786807975,23.828031219475747,23.80000000000001
158400,23.654820369570473,23.60478501076068,23.593760064514015,23.504601230450476,36.4456692851175,23.463956776944087,23.637018448700644,24.01602217637793,23.557020589657668,23.686507489607664,23.945046608213715,23.615983085792266,23.711254177968783,24.444752214519383,23.567198879356454,23.74334889357101,24.101053038199836,23.667666000078214,23.833663872777038,23.90441777172265,23.797936955434295,23.795878502338155,24.647610444271095,23.726306195470897,23.805585765161368,24.146000153289776,23.81215326943959,23.69999999999999
158700,23.63957675695451,23.59250470968044,23.582548309943206,23.493626245447274,36.231113876086056,23.454196065322094,23.62093411770536,24.004416127397235,23.546091319543734,23.6757067162888,23.93181994949356,23.605630041147833,23.702168418969393,24.453116433475884,23.557730231669666,23.730558724518005,24.07066714561296,23.655655318775416,23.814805495973246,23.889904556719216,23.78205379530857,23.78009476744694,24.63833515555808,23.710055925411552,23.787707467081987,24.128033519771577,23.79627531940355,23.69999999999999
159000,23.62433314433838,23.580224408600202,23.571336555372454,23.482651260444072,36.01655846705455,23.4444353537001,23.604849786709963,23.99281007841654,23.535162049429744,23.664905942969995,23.9185932907734,23.595276996503344,23.69308265997006,24.46148065243233,23.548261583982935,23.717768555464943,24.040281253026023,23.643644637472562,23.795947119169455,23.875391341715783,23.76617063518296,23.764311032555838,24.62905986684507,23.693805655352207,23.76982916900272,24.11006688625332,23.780397369367392,23.600000000000023
159300,23.60908953172236,23.56794410752002,23.560124800801646,23.471676275440927,35.802003058023104,23.434674642077994,23.588765455714622,23.981204029435844,23.524232779315753,23.65410516965113,23.905366632053358,23.584923951858855,23.683996900970726,24.46984487138883,23.538792936296204,23.704978386411938,24.009895360439145,23.631633956169708,23.777088742365663,23.86087812671235,23.750287475057235,23.748527297664737,24.619784578132055,23.677555385292862,23.751950870923338,24.092100252735122,23.764519419331236,23.600000000000023
159600,23.5938459191064,23.55566380643978,23.54891304623078,23.46070129043767,35.587447648991656,23.424913930456,23.572681124719338,23.96959798045509,23.513303509201705,23.64330439633227,23.8921399733332,23.574570907214422,23.674911141971393,24.47820909034533,23.529324288609473,23.692188217358876,23.979509467852267,23.619623274866854,23.75823036556193,23.84636491170886,23.734404314931567,23.73274356277352,24.610509289419042,23.661305115233517,23.734072572843957,24.074133619216923,23.748641469295137,23.5
159900,23.57860230649038,23.5433835053596,23.537701291660028,23.44972630543441,35.37289223996021,23.415153218834007,23.556596793723998,23.95799193147434,23.502374239087658,23.632503623013406,23.8789133146131,23.564217862569876,23.66582538297206,24.486573309301775,23.519855640922685,23.67939804830587,23.94912357526539,23.607612593564113,23.73937198875808,23.831851696705428,23.7185211548059,23.71695982788242,24.601234000705915,23.645054845174116,23.716194274764632,24.05616698569878,23.73276351925898,23.399999999999977
160200,23.56335869387442,23.531103204279418,23.52648953708922,23.438751320431265,35.15833683092876,23.405392507212014,23.5405124627286,23.9463858824937,23.491444968973724,23.621702849694543,23.865686655892944,23.553864817925444,23.656739623972726,24.494937528258276,23.510386993235954,23.66660787925281,23.91873768267851,23.595601912261202,23.720513611954345,23.817338481701995,23.702637994680174,23.701176092991204,24.591958711992902,23.628804575114714,23.69831597668525,24.03820035218058,23.71688556922288,23.399999999999977
160500,23.548115081258402,23.518822903199236,23.51527778251841,23.427776335428007,34.943781421897256,23.395631795589964,23.52442813173326,23.934779833513005,23.480515698859733,23.610902076375737,23.852459997172787,23.543511773280898,23.647653864973336,24.503301747214778,23.500918345549167,23.65381771019986,23.888351790091576,23.583591230958405,23.701655235150554,23.802825266698505,23.686754834554506,23.685392358100046,24.58268342327989,23.61255430505537,23.680437678605927,24.020233718662325,23.701007619186726,23.30000000000001
160800,23.532871468642384,23.506542602118998,23.50406602794766,23.416801350424805,34.72922601286581,23.38587108396797,23.508343800737975,23.92317378453231,23.469586428745743,23.600101303056874,23.839233338452686,23.533158728636465,23.63856810597406,24.511665966171222,23.491449697862436,23.64102754114674,23.857965897504698,23.57158054965555,23.682796858346762,23.788312051695073,23.670871674428838,23.669608623208887,24.573408134566876,23.596304034996024,23.662559380526545,24.002267085144126,23.685129669150626,23.30000000000001
161100,23.517627856026365,23.49426230103876,23.49285427337685,23.405826365421603,34.51467060383436,23.37611037234592,23.492259469742635,23.911567735551614,23.458657158631695,23.58930052973801,23.826006679732586,23.522805683992033,23.629482346974726,24.520030185127723,23.481981050175705,23.628237372093736,23.82758000491782,23.559569868352753,23.66393848154297,23.77379883669164,23.65498851430317,23.65382488831773,24.564132845853806,23.580053764936622,23.644681082447107,23.984300451625927,23.669251719114527,23.19999999999999
161400,23.502384243410347,23.48198199995852,23.481642518806098,23.3948513804184,34.300115194802856,23.366349660723927,23.476175138747237,23.89996168657092,23.447727888517704,23.57849975641915,23.81278002101243,23.51245263934743,23.620396587975335,24.528394404084224,23.472512402488974,23.61544720304073,23.797194112330942,23.547559187049956,23.645080104739236,23.759285621688207,23.639105354177445,23.63804115342657,24.55485755714085,23.56380349487722,23.626802784367783,23.966333818107728,23.65337376907837,23.19999999999999
161700,23.487140630794386,23.46970169887834,23.47043076423529,23.3838763954152,34.08555978577141,23.356588949101933,23.460090807751953,23.888355637590166,23.436798618403714,23.567698983100343,23.79955336229233,23.502099594703054,23.611310828975945,24.53675862304067,23.463043754802186,23.60265703398761,23.766808219744064,23.5355485057471,23.626221727935445,23.744772406684717,23.623222194051777,23.622257418535412,24.54558226842778,23.547553224817875,23.6089244862884,23.94836718458953,23.637495819042215,23.19999999999999
162000,23.471897018178367,23.4574213977981,23.459219009664537,23.37290141041194,33.87100437673996,23.346828237479883,23.444006476756613,23.876749588609528,23.425869348289723,23.55689820978148,23.78632670357223,23.491746550058565,23.60222506997667,24.54512284199717,23.453575107115398,23.589866864934606,23.73642232715713,23.523537824444247,23.607363351131653,23.73025919168134,23.60733903392611,23.606473683644253,24.53630697971471,23.53130295475853,23.591046188209134,23.93040055107133,23.621617869006116,23.100000000000023
162300,23.456653405562406,23.44514109671786,23.448007255093728,23.361926425408797,33.65644896770851,23.33706752585789,23.427922145761272,23.865143539628775,23.414940078175732,23.546097436462617,23.77310004485207,23.48139350541402,23.593139310977335,24.553487060953614,23.444106459428667,23.5770766958816,23.706036434570194,23.511527143141393,23.58850497432786,23.71574597667785,23.591455873800385,23.590689948753038,24.527031691001753,23.51505268469907,23.573167890129696,23.91243391755313,23.605739918970016,23.100000000000023
162600,23.441409792946388,23.43286079563768,23.43679550052292,23.350951440405538,33.44189355867701,23.327306814235897,23.41183781476593,23.853537490648023,23.404010808061685,23.535296663143754,23.759873386131915,23.471040460769586,23.584053551977945,24.561851279910115,23.434637811741936,23.56428652682854,23.675650541983373,23.499516461838653,23.56964659752407,23.70123276167442,23.575572713674774,23.574906213861937,24.517756402288683,23.498802414639783,23.555289592050315,23.89446728403493,23.58986196893386,23
162900,23.42616618033037,23.4205804945575,23.425583745952167,23.339976455402336,33.22733814964556,23.317546102613846,23.39575348377059,23.841931441667327,23.39308153794775,23.524495889824948,23.74664672741187,23.460687416125097,23.57496779297867,24.57021549886656,23.425169164055205,23.551496357775534,23.645264649396495,23.4875057805358,23.55078822072028,23.686719546670986,23.559689553549106,23.559122478970778,24.50848111357567,23.48255214458044,23.537411293971047,23.876500650516732,23.57398401889776,23
163200,23.41092256771435,23.40830019347726,23.4143719913813,23.329001470399135,33.012782740614114,23.307785390991853,23.37966915277525,23.830325392686632,23.382152267833703,23.513695116506028,23.733420068691714,23.450334371480608,23.56588203397928,24.578579717823118,23.415700516368418,23.53870618872253,23.61487875680956,23.475495099232944,23.531929843916544,23.672206331667496,23.54380639342338,23.54333874407962,24.499205824862656,23.466301874521037,23.51953299589161,23.858534016998533,23.558106068861605,22.899999999999977
163500,23.395678955098333,23.396019892397078,23.403160236810493,23.318026485395876,32.798227331582666,23.298024679369803,23.36358482177991,23.818719343705993,23.37122299771977,23.502894343187222,23.720193409971614,23.43998132683612,23.556796274979888,24.586943936779562,23.406231868681687,23.525916019669467,23.584492864222682,23.46348441793009,23.513071467112752,23.657693116664063,23.527923233297713,23.52755500918846,24.489930536149586,23.45005160446169,23.501654697812228,23.840567383480334,23.542228118825506,22.899999999999977
163800,23.38043534248237,23.383739591316782,23.39194848223974,23.30705150039273,32.58367192255116,23.28826396774781,23.34750049078457,23.80711329472524,23.360293727605722,23.492093569868302,23.706966751251457,23.42962828219163,23.547710515980555,24.595308155736063,23.396763220994956,23.513125850616404,23.554106971635804,23.451473736627293,23.494213090309017,23.64317990166063,23.51204007317199,23.511771274297303,24.480655247436573,23.43380133440229,23.483776399732903,23.822600749962135,23.52635016878935,22.80000000000001
164100,23.365191729866297,23.3714592902366,23.380736727668932,23.296076515389473,32.369116513519714,23.278503256125816,23.331416159789228,23.795507245744545,23.349364457491674,23.481292796549496,23.693740092531357,23.41927523754714,23.53862475698122,24.603672374692508,23.387294573308225,23.5003356815634,23.523721079048926,23.43946305532444,23.475354713505226,23.62866668665714,23.496156913046377,23.495987539406087,24.47137995872356,23.417551064342888,23.465898101653522,23.804634116443935,23.510472218753193,22.80000000000001
164400,23.349948117250392,23.35917898915642,23.369524973098123,23.285101530386328,32.154561104488266,23.268742544503823,23.315331828793887,23.78390119676385,23.338435187377684,23.470492023230634,23.680513433811257,23.40892219290265,23.529538997981888,24.61203659364901,23.377825925621437,23.487545512510337,23.493335186462105,23.427452374021584,23.456496336701434,23.614153471653708,23.480273752920652,23.480203804514986,24.462104670010547,23.401300794283543,23.448019803574198,23.786667482925736,23.494594268717094,22.80000000000001
164700,23.334704504634374,23.34689868807618,23.35831321852737,23.27412654538307,31.94000569545682,23.258981832881773,23.299247497798603,23.772295147783154,23.327505917263693,23.459691249911828,23.667286775091043,23.39856914825816,23.52045323898261,24.62040081260551,23.368357277934706,23.474755343457332,23.46294929387517,23.415441692718787,23.4376379598977,23.599640256650275,23.464390592794985,23.464420069623884,24.452829381297533,23.38505052422414,23.430141505494817,23.768700849407537,23.478716318680995,22.80000000000001
165000,23.319460892018355,23.334618386996,23.34710146395662,23.263151560379868,31.72545028642537,23.24922112125978,23.283163166803206,23.760689098802402,23.31657664714976,23.448890476592965,23.654060116371,23.38821610361373,23.51136747998322,24.62876503156201,23.358888630247975,23.461965174404327,23.43256340128829,23.40343101141599,23.418779583093908,23.585127041646842,23.448507432669317,23.44863633473267,24.443554092584463,23.368800254164796,23.412263207415492,23.750734215889338,23.46283836864484,22.69999999999999
165300,23.304217279402337,23.32233808591576,23.33588970938581,23.252176575376666,31.510894877393866,23.239460409637786,23.267078835807865,23.749083049821706,23.30564737703571,23.438089703274102,23.640833457650842,23.37786305896924,23.502281720983945,24.637129250518512,23.349419982561187,23.44917500535132,23.402177508701413,23.391420330113135,23.39992120629006,23.57061382664341,23.43262427254365,23.432852599841567,24.43427880387145,23.352549984105394,23.39438490933611,23.73276758237114,23.44696041860874,22.69999999999999
165600,23.28897366678632,23.31005778483552,23.324677954815,23.241201590373407,31.29633946836242,23.229699698015793,23.25099450481258,23.73747700084101,23.29471810692172,23.427288929955296,23.627606798930742,23.367510014324807,23.49319596198461,24.6454934694749,23.339951334874456,23.436384836298203,23.37179161611448,23.379409648810338,23.381062829486325,23.556100611639977,23.41674111241798,23.417068864950352,24.425003515158437,23.33629971404605,23.376506611256787,23.71480094885294,23.431082468572583,22.69999999999999
165900,23.2737300541703,23.29777748375534,23.31346620024425,23.230226605370206,31.08178405933097,23.219938986393686,23.23491017381724,23.725870951860315,23.283788836807673,23.416488156636433,23.614380140210585,23.35715696968026,23.48411020298522,24.653857688431458,23.330482687187725,23.423594667245197,23.3414057235276,23.367398967507484,23.362204452682533,23.541587396636544,23.400857952292313,23.401285130059193,24.415728226445424,23.320049443986704,23.35862831317735,23.69683431533474,23.415204518536484,22.69999999999999
