% Model,SmartRoom_09-11.mph
% Version,COMSOL 6.1.0.282
% Date,"May 29 2023, 10:34"
% Table,09-11 3x3x3 - Time (s)
% Time (s),"Temperature (degC), Point: (2.35, 7.65, 0.15)","Temperature (degC), Point: (5.15, 7.65, 0.15)","Temperature (degC), Point: (7.95, 7.65, 0.15)","Temperature (degC), Point: (2.35, 3, 0.15)","Temperature (degC), Point: (5.15, 3, 0.15)","Temperature (degC), Point: (7.95, 3, 0.15)","Temperature (degC), Point: (2.35, -1.65, 0.15)","Temperature (degC), Point: (5.15, -1.65, 0.15)","Temperature (degC), Point: (7.95, -1.65, 0.15)","Temperature (degC), Point: (2.35, 7.65, 1.5)","Temperature (degC), Point: (5.15, 7.65, 1.5)","Temperature (degC), Point: (7.95, 7.65, 1.5)","Temperature (degC), Point: (2.35, 3, 1.5)","Temperature (degC), Point: (5.15, 3, 1.5)","Temperature (degC), Point: (7.95, 3, 1.5)","Temperature (degC), Point: (2.35, -1.65, 1.5)","Temperature (degC), Point: (5.15, -1.65, 1.5)","Temperature (degC), Point: (7.95, -1.65, 1.5)","Temperature (degC), Point: (2.35, 7.65, 2.85)","Temperature (degC), Point: (5.15, 7.65, 2.85)","Temperature (degC), Point: (7.95, 7.65, 2.85)","Temperature (degC), Point: (2.35, 3, 2.85)","Temperature (degC), Point: (5.15, 3, 2.85)","Temperature (degC), Point: (7.95, 3, 2.85)","Temperature (degC), Point: (2.35, -1.65, 2.85)","Temperature (degC), Point: (5.15, -1.65, 2.85)","Temperature (degC), Point: (7.95, -1.65, 2.85)",T_outer (degC)
161100,28.65521642470361,27.946012498220682,25.757717891578352,32.045023212823025,25.06344164926503,25.785974252063795,27.288464446519527,25.72350549740628,26.171651537245396,30.77977348086563,29.790684746272916,25.914641089480426,23.967993126171734,26.114310321440826,26.010043538045352,28.66432425032167,27.109947361389857,26.489572543349595,31.30222507201529,31.01185442606402,26.691308876651306,30.045598573827874,29.884089341030062,26.69414247495297,30.002451083242875,28.8703025875447,26.970601555895996,19.69999999999999
161399.99999999997,28.615481027213832,27.92776832974988,25.695028591624236,31.94873773046237,25.048146651166462,25.704531672843245,27.243113492984378,25.689624992047925,26.085771295436246,30.727672989091218,29.793938149350083,25.85328851444666,23.93257313305446,26.11993564488904,25.931712195719683,28.607661770459913,27.072334012357373,26.400891083414137,31.256071238717936,30.97701460426822,26.620964208993428,29.978276915459446,29.83077508255002,26.608895062423016,29.936002514742768,28.810396016255822,26.8823284991405,19.69999999999999
161700,28.575745629724054,27.90952416127891,25.632339291670178,31.852452248101656,25.03285165306795,25.623089093622752,27.19776253944923,25.655744486689457,25.99989105362704,30.67557249731692,29.797191552427307,25.791935939412838,23.89715313993719,26.125560968337254,25.853380853394015,28.550999290598156,27.034720663324833,26.31220962347868,31.209917405420526,30.942174782472534,26.550619541335436,29.910955257091075,29.777460824070033,26.523647649893064,29.86955394624266,28.75048944496683,26.794055442384945,19.69999999999999
162000,28.536010232234275,27.89127999280811,25.56964999171612,31.756166765741,25.017556654969383,25.54164651440226,27.152411585914138,25.621863981331046,25.91401081181789,30.623472005542567,29.80044495550453,25.730583364379072,23.861733146819915,26.13118629178564,25.775049511068403,28.4943368107364,26.99710731429235,26.22352816354328,31.163763572123116,30.90733496067685,26.48027487367756,29.84363359872259,29.724146565590047,26.438400237363,29.803105377742554,28.690582873677954,26.70578238562939,19.899999999999977
162299.99999999997,28.496274834744554,27.873035824337308,25.506960691761947,31.659881283380287,25.00226165687087,25.46020393518171,27.10706063237899,25.587983475972692,25.828130570008682,30.571371513768213,29.803698358581755,25.66923078934525,23.826313153702642,26.13681161523391,25.696718168742677,28.437674330874586,26.959493965259867,26.134846703607764,31.117609738825763,30.87249513888105,26.40993020601968,29.77631194035422,29.670832307109947,26.353152824833103,29.736656809242447,28.63067630238902,26.617509328873894,20
162600,28.456539437254776,27.854791655866507,25.44427139180783,31.56359580101963,24.986966658772303,25.378761355961217,27.061709678843897,25.554102970614224,25.742250328199475,30.51927102199386,29.80695176165898,25.607878214311484,23.79089316058537,26.142436938682124,25.61838682641701,28.381011851012772,26.921880616227327,26.04616524367225,31.071455905528296,30.837655317085364,26.33958553836169,29.708990281985848,29.61751804862996,26.267905412303094,29.67020824074234,28.570769731100086,26.529236272118283,20.30000000000001
162900,28.416804039764997,27.83654748739565,25.381582091853772,31.467310318658974,24.971671660673735,25.297318776740667,27.016358725308862,25.520222465255813,25.656370086390268,30.467170530219505,29.810205164736203,25.546525639277718,23.75547316746804,26.14806226213034,25.54005548409134,28.324349371151015,26.884267267194843,25.95748378373679,31.025302072230886,30.80281549528962,26.26924087070381,29.64166862361742,29.564203790149918,26.18265799977314,29.603759672242177,28.51086315981115,26.440963215362785,20.30000000000001
163199.99999999997,28.377068642275276,27.818303318924734,25.318892791899657,31.371024836298318,24.956376662575167,25.215876197520174,26.971007771773657,25.486341959897402,25.57048984458106,30.415070038445208,29.813458567813427,25.485173064243895,23.720053174350767,26.15368758557861,25.46172414176567,28.26768689128926,26.84665391816236,25.868802323801276,30.979148238933476,30.76797567349388,26.198896203045877,29.574346965248992,29.510889531669875,26.097410587243132,29.53731110374207,28.45095658852233,26.35269015860723,20.100000000000023
163500,28.337333244785498,27.800059150453933,25.256203491945598,31.274739353937605,24.941081664476656,25.13443361829968,26.925656818238508,25.45246145453899,25.48460960277191,30.36296954667091,29.81671197089065,25.423820489210073,23.684633181233494,26.159312909026823,25.383392799440003,28.211024411427502,26.809040569129877,25.780120863865818,30.932994405636066,30.733135851698137,26.128551535388,29.507025306880564,29.45757527318989,26.01216317471318,29.470862535241906,28.39105001723334,26.264417101851677,20.100000000000023
163800,28.29759784729572,27.781814981983075,25.19351419199154,31.17845387157695,24.925786666378087,25.05299103907919,26.880305864703416,25.418580949180523,25.398729360962648,30.310869054896557,29.819965373967875,25.362467914176307,23.64921318811622,26.164938232475095,25.305061457114334,28.15436193156569,26.771427220097394,25.691439403930417,30.886840572338713,30.698296029902394,26.058206867730064,29.439703648512193,29.404261014709846,25.926915762183285,29.4044139667418,28.331143445944463,26.176144045096066,19.69999999999999
