% Model,SmartRoom.mph
% Version,COMSOL 6.1.0.282
% Date,"May 26 2023, 17:05"
% Table,09-12 fine 3x3x3 - 3x3x3
% Time (s),"Temperature (degC), Point: (2.35, 7.65, 0.15)","Temperature (degC), Point: (5.15, 7.65, 0.15)","Temperature (degC), Point: (7.95, 7.65, 0.15)","Temperature (degC), Point: (2.35, 3, 0.15)","Temperature (degC), Point: (5.15, 3, 0.15)","Temperature (degC), Point: (7.95, 3, 0.15)","Temperature (degC), Point: (2.35, -1.65, 0.15)","Temperature (degC), Point: (5.15, -1.65, 0.15)","Temperature (degC), Point: (7.95, -1.65, 0.15)","Temperature (degC), Point: (2.35, 7.65, 1.5)","Temperature (degC), Point: (5.15, 7.65, 1.5)","Temperature (degC), Point: (7.95, 7.65, 1.5)","Temperature (degC), Point: (2.35, 3, 1.5)","Temperature (degC), Point: (5.15, 3, 1.5)","Temperature (degC), Point: (7.95, 3, 1.5)","Temperature (degC), Point: (2.35, -1.65, 1.5)","Temperature (degC), Point: (5.15, -1.65, 1.5)","Temperature (degC), Point: (7.95, -1.65, 1.5)","Temperature (degC), Point: (2.35, 7.65, 2.85)","Temperature (degC), Point: (5.15, 7.65, 2.85)","Temperature (degC), Point: (7.95, 7.65, 2.85)","Temperature (degC), Point: (2.35, 3, 2.85)","Temperature (degC), Point: (5.15, 3, 2.85)","Temperature (degC), Point: (7.95, 3, 2.85)","Temperature (degC), Point: (2.35, -1.65, 2.85)","Temperature (degC), Point: (5.15, -1.65, 2.85)","Temperature (degC), Point: (7.95, -1.65, 2.85)",T_outer (degC)
197400,22.86168564561399,23.152462166898772,22.017776189398944,23.005575704334888,22.578501859621895,21.572245518268005,22.67991947329392,23.318491923970328,21.230593106437254,23.406807316801405,24.631408979044124,22.367791486438477,20.493592777935703,25.4511712145827,21.78490400975096,23.170338871762397,24.65963292952739,21.37066692258287,23.983564381055373,24.293616934171325,22.350545498562724,23.036249781209108,24.12106241891786,21.967659840172985,23.843032615328525,24.53946279001775,21.701659936847136,17.5
197700,22.822061817464316,23.11418165405445,22.043982092807482,22.960953174809163,22.558159974352748,21.602616545807052,22.662094372810486,23.328525609430187,21.25035192996802,23.360166217564426,24.582430792829882,22.39541481120591,20.473481420123676,25.436643201563925,21.813509704965327,23.149978803860108,24.67706761317089,21.38945657605575,23.932672292653024,24.247806585309377,22.372905769898296,22.9979061235299,24.088387070509157,21.99376007495607,23.824982450835137,24.5471313115803,21.720094757666402,17.5
198000,22.78243798931453,23.075901141210124,22.07018799621602,22.916330645283324,22.537818089083544,21.6329875733461,22.644269272326937,23.33855929488999,21.270110753498784,23.313525118327448,24.533452606615697,22.42303813597323,20.453370062311706,25.422115188545092,21.842115400179637,23.12961873595782,24.69450229681439,21.408246229528743,23.881780204250674,24.201996236447542,22.395266041233867,22.959562465850752,24.055711722100398,22.019860309739045,23.806932286341862,24.55479983314291,21.73852957848561,17.600000000000023
198300,22.742814161164745,23.037620628365858,22.09639389962456,22.8717081157576,22.51747620381434,21.663358600885147,22.62644417184356,23.34859298034985,21.28986957702955,23.266884019090412,24.48447442040151,22.450661460740662,20.43325870449962,25.407587175526317,21.870721095394003,23.10925866805553,24.71193698045795,21.427035883001622,23.830888115848325,24.156185887585707,22.41762631256944,22.921218808171716,24.023036373691696,22.045960544522075,23.78888212184853,24.56246835470546,21.756964399304877,17.5
198600,22.703190333015016,22.999340115521534,22.12259980303304,22.82708558623193,22.497134318545193,21.693729628424137,22.608619071360067,23.358626665809595,21.309628400560314,23.220242919853376,24.43549623418727,22.478284785508038,20.413147346687595,25.39305916250754,21.89932679060837,23.088898600153243,24.729371664101393,21.44582553647456,23.779996027446032,24.11037553872376,22.439986583904954,22.88287515049251,23.990361025282937,22.072060779305104,23.770831957355256,24.570136876268066,21.775399220124143,17.399999999999977
198900,22.663566504865287,22.96105960267721,22.148805706441635,22.782463056706206,22.47679243327599,21.724100655963184,22.590793970876575,23.368660351269455,21.329387224091022,23.17360182061634,24.386518047973027,22.505908110275413,20.393035988875567,25.37853114948871,21.927932485822794,23.068538532250955,24.746806347744894,21.46461518994738,23.729103939043625,24.064565189861923,22.462346855240526,22.844531492813417,23.957685676874235,22.09816101408819,23.752781792861924,24.577805397830673,21.79383404094341,17
199200,22.6239426767155,22.92277908983283,22.175011609850173,22.737840527180424,22.456450548006842,21.75447168350223,22.572968870393083,23.378694036729257,21.349146047621787,23.126960721379362,24.337539861758728,22.53353143504279,20.37292463106354,25.364003136469933,21.956538181037104,23.048178464348666,24.764241031388394,21.483404843420374,23.67821185064122,24.01875484100003,22.484707126576097,22.806187835134267,23.925010328465532,22.124261248871107,23.734731628368593,24.585473919393223,21.812268861762618,17.30000000000001
199500,22.584318848565772,22.884498576988562,22.20121751325871,22.693217997654756,22.436108662737695,21.78484271104122,22.55514376990959,23.38872772218906,21.36890487115255,23.080319622142383,24.288561675544543,22.561154759810165,20.35281327325157,25.349475123451157,21.98514387625147,23.027818396446378,24.781675715031895,21.502194496893253,23.627319762238926,23.972944492138197,22.50706739791167,22.767844177455117,23.892334980056773,22.150361483654194,23.71668146387526,24.59314244095583,21.830703682581884,17.5
199800,22.550255434074757,22.849579931861058,22.216246629033776,22.69138773744993,22.418442767784768,21.804510906241433,22.546893898766257,23.402714592830137,21.382088956408438,23.041685198096843,24.243745158090405,22.57681909430528,20.338349806196845,25.335611318446013,22.00372181571413,23.021851155032664,24.805167652506327,21.515075051365272,23.58581219969426,23.936436322355974,22.51937184894564,22.742984452854444,23.870582679628285,22.166715509902644,23.709464621842756,24.608503474486213,21.843933870084413,17.69999999999999
200100,22.54002877892549,22.829073169845117,22.18336233163882,22.87300228694471,22.412248490068407,21.778297472053794,22.579691771806665,23.433648246494954,21.367088006591587,23.037374333660296,24.216769165241487,22.541216816173517,20.348098101257506,25.324594885515182,21.97931209000342,23.077584060821323,24.8546262375541,21.502624078462873,23.584534860678616,23.939805366335747,22.48856832578514,22.775928569387588,23.895656043972053,22.14128882673117,23.74868880312556,24.656841291357125,21.83485248160622,17.399999999999977
200400,22.529802123776278,22.808566407829062,22.15047803424386,23.05461683643955,22.406054212351933,21.75208403786621,22.61248964484696,23.46458190015977,21.352087056774792,23.03306346922369,24.18979317239257,22.505614538041755,20.35784639631828,25.313578452584352,21.95490236429282,23.133316966610096,24.904084822601817,21.490173105560416,23.58325752166286,23.94317441031569,22.457764802624638,22.808872685920733,23.920729408315765,22.115862143559752,23.787912984408308,24.70517910822815,21.825771093128083,17.899999999999977
